id,entregavel,funcao_executora,tempo_padrao_min,tempo_real_min,rodadas_revisao_inclusas,custo_direto_derivado_brl,direcionador_de_custo,status,fonte,impacto_da_incerteza,proxima_acao
D01,Video curto editado (reels),Editor de video,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,50.00,capacidade declarada do editor principal (30 videos/mes por R$1.500),ESTIMADO,"Prompt-mestre 5.1 — derivado por divisao, nao medido","R$50 e custo de rateio de mensalidade, NAO custo de tempo. Se o volume real for menor que 30, o custo unitario sobe proporcionalmente.","Cronometrar 5 videos reais ponta a ponta (ingest, corte, legenda, revisao, ajuste)"
D02,Arte estatica,Designer,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,26.00,capacidade declarada do designer (25 artes/mes por R$650),ESTIMADO,"Prompt-mestre 5.1 — derivado por divisao, nao medido","Nao esta definido se 1 carrossel de 8 laminas conta como 1 arte ou 8. Muda o custo em ate 8x.","Definir unidade contabil de arte e cronometrar"
D03,Carrossel,Designer,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO DEFINIDO,NAO INFORMADO,"Prompt-mestre 5.3 (Prime: 1 carrossel/semana)","Vendido em contrato sem custo conhecido nem unidade definida.","Definir numero padrao de laminas e medir tempo"
D04,Roteiro de video,Social Media / Nicolas,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO DEFINIDO,NAO INFORMADO,"EXPANSION-360 secao 9 (TACO/AIDA/IA propria); skill roteiro-expansion","Etapa obrigatoria da jornada sem custo alocado. Hoje executada em parte pelos socios = custo invisivel.","Medir tempo de producao de 1 lote de roteiros semanais"
D05,Diaria de captacao (gravacao),Filmmaker,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,NAO INFORMADO,"Prompt-mestre 5.3 (10 gravacoes/mes contratadas nos 5 contratos informados)","10 gravacoes/mes contratadas e nenhum custo por gravacao. Inclui deslocamento nao medido.","Definir quantas diarias o valor do filmmaker cobre e medir deslocamento"
D06,Publicacao (postagem + legenda),Social Media,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,NAO INFORMADO,"Prompt-mestre 5.3","78 publicacoes/mes contratadas em Cies+Jane+Albanos sem custo unitario.","Medir tempo por publicacao e definir capacidade da social media"
D07,Gestao de campanha de trafego (por conta),Gestor de trafego,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,NAO INFORMADO,"Prompt-mestre 5.3 (trafego em 4 dos 6 contratos); OPERACAO-REAL secao 13 (POP completo existe, enterrado no WhatsApp)","Vendido em quase todo contrato, custo por conta desconhecido.","Adotar a propria proposta do gestor (20-25 contas/gestor) como base e validar"
D08,Relatorio semanal de trafego,Gestor de trafego,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,NAO ENTREGUE,"transcricoes-audios-whatsapp 16/07/2026: 'a gente ta muitas semanas sem mandar nenhum relatorio'; 'A Prime quase cancelou'","Entregavel prometido, NAO produzido, e causa declarada de quase-churn do maior cliente. Custo zero hoje porque nao acontece.","Definir tempo padrao e incluir no custo de TODO contrato com trafego"
D09,Aftermovie,Editor de video,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO DEFINIDO,NAO INFORMADO,"Prompt-mestre 5.4 (OTI PRO: 2 aftermovies; proposta Trinca: 1 aftermovie documental)","Item de maior esforco unitario de todo o catalogo e sem tempo medido. Precifica evento no escuro.","Cronometrar o aftermovie do OTI PRO retroativamente com o editor"
D10,Cobertura ao vivo / publicacao em tempo real,Equipe de evento,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,NAO INFORMADO,"Prompt-mestre 5.4","Consome equipe em horario estendido; sem adicional definido para noturno/fim de semana.","Levantar horas reais do OTI PRO"
D11,Atendimento e gestao de cliente (WhatsApp/reuniao),Socios,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,CUSTO INVISIVEL,"OPERACAO-REAL secao 14: Nicolas e o roteador de quase toda tarefa; horarios 01h34, 00h58, 23h49","Nao aparece em nenhum custo. E provavelmente a maior parcela de tempo consumida por cliente.","Medir 2 semanas de tempo dos socios por cliente"
D12,Onboarding de cliente novo,Socios,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,CUSTO INVISIVEL,"EXPANSION-360 secao 9; AUDITORIA-DRIVE secao 10 (hoje manual, ~30 min so a criacao de pastas)","Custo de aquisicao/ativacao nao alocado. Contratos de 1 mes amortizam onboarding em 1 mes so.","Medir onboarding completo do proximo cliente"
D13,Retrabalho (reedicao),Editor de video,NAO INFORMADO,NAO INFORMADO,n/a,NAO INFORMADO,NAO DEFINIDO,OCORRE E NAO E MEDIDO,"OPERACAO-REAL secao 8: 'segunda vez que voces editam videos que ja foram editados' (25/06); AUDITORIA-DRIVE secao 12 estima ~4h/mes de editor","Taxa de retrabalho desconhecida. Toda estimativa de custo esta subestimada por um fator desconhecido.","Instrumentar contagem de retrabalho no Organify por 30 dias"
