codigo,link,data,duracao_s,tema,formato,views,curtidas,comentarios,texto_da_capa,abertura_parafrase,promessa_central,publico_aparente,estrutura_narrativa,tipo_desenvolvimento,tipo_encerramento,cta,faixa_desempenho,observacoes,transcricao_ok
EM01,,,,,,,,,,,,,,,,,ALTO,,NAO
EM02,,,,,,,,,,,,,,,,,ALTO,,NAO
EM03,,,,,,,,,,,,,,,,,ALTO,,NAO
EM04,,,,,,,,,,,,,,,,,ALTO,,NAO
EM05,,,,,,,,,,,,,,,,,ALTO,,NAO
EM06,,,,,,,,,,,,,,,,,ALTO,,NAO
EM07,,,,,,,,,,,,,,,,,ALTO,,NAO
EM08,,,,,,,,,,,,,,,,,ALTO,,NAO
EM09,,,,,,,,,,,,,,,,,ALTO,,NAO
EM10,,,,,,,,,,,,,,,,,ALTO,,NAO
EM11,,,,,,,,,,,,,,,,,ALTO,,NAO
EM12,,,,,,,,,,,,,,,,,ALTO,,NAO
EM13,,,,,,,,,,,,,,,,,ALTO,,NAO
EM14,,,,,,,,,,,,,,,,,ALTO,,NAO
EM15,,,,,,,,,,,,,,,,,ALTO,,NAO
EM16,,,,,,,,,,,,,,,,,ALTO,,NAO
EM17,,,,,,,,,,,,,,,,,ALTO,,NAO
EM18,,,,,,,,,,,,,,,,,ALTO,,NAO
EM19,,,,,,,,,,,,,,,,,ALTO,,NAO
EM20,,,,,,,,,,,,,,,,,ALTO,,NAO
EM21,,,,,,,,,,,,,,,,,ALTO,,NAO
EM22,,,,,,,,,,,,,,,,,ALTO,,NAO
EM23,,,,,,,,,,,,,,,,,ALTO,,NAO
EM24,,,,,,,,,,,,,,,,,ALTO,,NAO
EM25,,,,,,,,,,,,,,,,,ALTO,,NAO
EM26,,,,,,,,,,,,,,,,,ALTO,,NAO
EM27,,,,,,,,,,,,,,,,,ALTO,,NAO
EM28,,,,,,,,,,,,,,,,,ALTO,,NAO
EM29,,,,,,,,,,,,,,,,,ALTO,,NAO
EM30,,,,,,,,,,,,,,,,,ALTO,,NAO
EM31,,,,,,,,,,,,,,,,,ALTO,,NAO
EM32,,,,,,,,,,,,,,,,,ALTO,,NAO
EM33,,,,,,,,,,,,,,,,,ALTO,,NAO
EM34,,,,,,,,,,,,,,,,,ALTO,,NAO
EM35,,,,,,,,,,,,,,,,,ALTO,,NAO
EM36,,,,,,,,,,,,,,,,,ALTO,,NAO
EM37,,,,,,,,,,,,,,,,,ALTO,,NAO
EM38,,,,,,,,,,,,,,,,,ALTO,,NAO
EM39,,,,,,,,,,,,,,,,,ALTO,,NAO
EM40,,,,,,,,,,,,,,,,,ALTO,,NAO
EM41,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM42,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM43,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM44,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM45,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM46,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM47,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM48,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM49,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM50,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM51,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM52,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM53,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM54,,,,,,,,,,,,,,,,,CONTROLE,,NAO
EM55,,,,,,,,,,,,,,,,,CONTROLE,,NAO
