id,item,categoria,custo_mensal_brl,usuarios,forma_pagamento,rateio_proposto,vinculo_com_produto,status,fonte,impacto_da_incerteza,proxima_acao
F01,Organify,Sistema de gestao (financeiro + demandas + metas),NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Todos,NAO INFORMADO,"EXPANSION-360 secao 8.1 (comprado 14/07/2026); OPERACAO-REAL A4: limite de 5 GB de armazenamento","Ferramenta comprada ha ~3 semanas cujo limite de 5 GB ja devolveu a operacao para o Drive. Custo desconhecido e utilidade parcial.","Levantar valor, plano e data de renovacao"
F02,CRM (WeSales / Kommo),CRM,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Comercial + produto de atendimento,CONTRADITORIO,"Prompt-mestre 5.2 cita 'Kommo CRM'; OPERACAO-REAL e audios citam 'WeSales' (07/07 e 17/07/2026)","Duas ferramentas diferentes nomeadas para a mesma funcao. Pode ser troca, teste paralelo ou erro de registro. Em 06/07 uma campanha foi pausada porque 'o CRM nao esta funcionando que nao pagou ele'.","Confirmar qual CRM esta em uso hoje, valor e situacao de pagamento"
F03,Google Drive / Google Workspace,Armazenamento e documentos,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Todos,NAO CONTRATADO,"AUDITORIA-DRIVE C2: acervo em conta Gmail pessoal, sem Workspace. Custo estimado no relatorio: R$30-70/usuario/mes","Nao e so custo: e risco de perda do acervo. Migracao para Workspace e custo NOVO a entrar no modelo, nao existente.","Cotar Workspace Business Standard para o numero real de usuarios"
F04,Captions,Edicao/legendagem,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Producao de video,Conteudo,NAO INFORMADO,"Prompt-mestre 5.2","Custo por assento pode ser variavel com o numero de editores.","Levantar valor e quem paga"
F05,CapCut Pro,Edicao de video,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Producao de video,Conteudo,NAO INFORMADO,"Prompt-mestre 5.2","Pode estar sendo pago pelo freelancer e nao pela empresa — se o freelancer sai, a licenca sai.","Confirmar quem paga e em que conta"
F06,ChatGPT / Claude,IA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Roteiro e estrategia,NAO INFORMADO,"Prompt-mestre 5.2; EXPANSION-360 secao 4 (IA propria montada pelo Nicolas)","Parte do metodo declarado ('IA propria') roda sobre assinatura nao contabilizada.","Levantar assinaturas ativas e valores"
F07,Canva,Design,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Producao de arte,Conteudo,NAO INFORMADO,"OPERACAO-REAL secao 9","Idem F05.","Levantar"
F08,Hostinger,Hospedagem/LP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Comercial,Aquisicao propria,NAO INFORMADO,"OPERACAO-REAL secao 9","Custo de aquisicao propria, nao de entrega. Nao deve ser rateado em produto de cliente.","Levantar"
F09,ClickUp,Gestao de tarefas,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Todos,PROVAVELMENTE DESCONTINUADO,"OPERACAO-REAL secao 9 (testado); substituido pelo Organify","Risco de assinatura ativa nao usada.","Verificar se ha cobranca recorrente ativa"
F10,Lovable (ERP interno),Desenvolvimento,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Interno,PROVAVELMENTE DESCONTINUADO,"OPERACAO-REAL secao 9 (expansion-workspace.lovable.app, depois space-expansion.lovable.app)","Idem F09.","Verificar"
F11,ManyChat,Automacao de mensagens,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Atendimento,Produto de atendimento,NAO INFORMADO,"OPERACAO-REAL secao 9","Idem.","Verificar"
F12,TurboScribe,Transcricao,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Producao,Conteudo,NAO INFORMADO,"OPERACAO-REAL secao 9","Idem.","Verificar"
F13,WhatsApp Business API (oficial),Atendimento,NAO INFORMADO,NAO INFORMADO,cobranca por conversa,Atendimento,Produto de atendimento,DECISAO EM ABERTO,"transcricoes-audios-whatsapp 17/07/2026, Matheus: 'o WhatsApp oficial ele cobra... cobra por conversa'","Custo VARIAVEL por conversa — o unico custo genuinamente variavel identificado ate agora. Se o produto de atendimento for vendido, esse custo escala com o sucesso da campanha.","Decidir oficial x nao-oficial ANTES de precificar qualquer produto de atendimento"
F14,Escritorio / estrutura fisica,Estrutura,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Todos,NAO INFORMADO,"transcricoes 16/07/2026, Matheus: 'nao to conseguindo ir pro escritorio por conta da grana'; EXPANSION-360 secao 3 (time hibrido)","Existe escritorio e nao ha custo registrado. Tambem nao ha auxilio de deslocamento — o custo esta sendo transferido para o PJ.","Levantar aluguel, contas e definir politica de deslocamento"
F15,Deslocamento e diaria de gravacao,Custo variavel direto,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Direto por gravacao,Todos com gravacao presencial,NAO INFORMADO,"Prompt-mestre 5.3 (10 gravacoes/mes contratadas)","Custo variavel direto de 10 gravacoes/mes nao medido. Afeta diretamente a margem dos contratos de menor ticket.","Registrar km, combustivel, estacionamento e alimentacao das proximas 5 gravacoes"
F16,Equipamento (cameras, lentes, audio, computadores),CAPEX / depreciacao,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,Estrutura,Producao,NAO INFORMADO,"Nenhuma fonte informa. Inferido da existencia de operacao de filmagem.","Sem depreciacao, o custo de producao esta subestimado e a reposicao de equipamento vira surpresa de caixa.","Inventariar equipamento, valor e vida util"
