codigo,produto,preco_mensal_brl,implantacao_brl,contrato_meses,faixa_faturamento_loja_min,faixa_faturamento_loja_max,horas_mes,lucro_pct,piso_brl,venda_nova_necessaria_brl,plataforma_inclusa,status
EX1-LEVE,EX1 · LEVE,1200,1500,6,30000,40000,3.62,48.6,490,3704,sim,NAO APROVADO
EX1-BASE,EX1 · BASE,1800,1500,6,40000,55000,8.25,41.9,1117,5556,sim,NAO APROVADO
EX1-GIRO,EX1 · GIRO,2400,1500,6,55000,90000,12.75,38.8,1726,7407,sim,NAO APROVADO
EX1-PLANO,EX1 · PLANO,2900,1500,6,90000,130000,16.45,37.3,2227,8951,sim,NAO APROVADO
EX2-CONT,EX2 · CONTEÚDO,3200,1500,6,60000,120000,15.00,41.5,2031,9877,sim,NAO APROVADO
EX3-MARCA,EX3 · MARCA,5500,3500,12,140000,,39.75,30.7,5383,16975,sim,NAO APROVADO
EX1EX2,EX1 BASE + EX2 CONTEÚDO,5000,2500,6,100000,140000,22.50,42.3,3047,15432,sim,NAO APROVADO
EX1EX3,EX1 BASE + EX3 MARCA,7300,4500,12,180000,,47.25,33.9,6398,22531,sim,NAO APROVADO
EX360,EX1 + EX2 + EX3 (360),10500,5000,12,250000,,61.50,36.5,8328,32407,sim,NAO APROVADO
EX2-IA,EX2 · IA DE ATENDIMENTO,3500,3500,12,100000,,20.75,31.8,2810,10802,nao,CONGELADO
